aspect_max,aspect_p95,case,deleted_quads,deleted_tris,edge_length_cv,error_code,error_phase,n_components,n_cylinders,n_duplicate_verts,n_fillet_tris,n_folds,n_free_edges,n_green,n_inverted_quads,n_iterations,n_junctions_2d,n_junctions_3d,n_nonmanifold_edges,n_nonplanar_quads,n_orphans,n_panels,n_purple,n_quads,n_skipped_pairs_protected,n_sliver_quads,n_sliver_rejects,n_spheres,n_surviving_tris,n_t_splits,n_tris,n_vertices,n_yellow,phase_reached,planarity_p95,resolution,wall_seconds
1.0,1.0,staircase_3,600,0,0.0,,,1,2,0,1200,2,240,612,0,1,0,0,0,0,0,3,444,2700,0,0,0,0,4200,0,0,2821,612,done,0.0,4.0,0.212
1.0,1.0,staircase_3,300,0,0.0,,,1,2,0,600,2,120,138,0,1,0,0,0,0,0,3,96,675,0,0,0,0,750,0,0,736,138,done,0.0,8.0,0.105
1.0,1.0,tab_plate_4,6100,0,0.0,,,1,5,0,12200,5,1532,0,0,1,0,0,0,0,0,6,12404,94000,0,0,0,0,175800,0,0,94767,31546,done,0.0,2.0,17.177
1.0,1.0,tab_plate_4,3100,0,0.0,,,1,5,0,6200,5,766,0,0,1,0,0,0,0,0,6,3068,23500,0,0,0,0,40800,0,0,23884,7840,done,0.0,4.0,2.808
1.143,1.042,tab_plate_4,1570,0,0.023,,,1,5,0,3140,5,384,0,0,1,0,0,0,0,0,6,780,5948,0,0,0,0,8756,0,0,6141,2060,done,0.0,8.0,0.634
1.0,1.0,tiny_panel,260,0,0.0,,,1,1,0,520,1,300,510,0,1,0,0,0,0,0,2,286,4496,0,0,0,0,8472,0,0,4647,410,done,0.0,2.0,0.309
1.0,1.0,tiny_panel,140,0,0.0,,,1,1,0,280,1,150,130,0,1,0,0,0,0,0,2,56,1124,0,0,0,0,1968,0,0,1200,104,done,0.0,4.0,0.132
1.029,1.029,tiny_panel,80,0,0.014,,,1,1,0,160,1,76,34,0,1,0,0,0,0,0,2,24,288,0,0,0,0,416,0,0,327,26,done,0.0,8.0,0.111
1.0,1.0,u_bracket,6720,0,0.0,,,1,5,0,13440,4,1312,0,0,2,0,2,0,0,0,5,13160,97320,0,0,0,1,181200,0,0,97977,35858,done,0.0,2.0,20.64
1.0,1.0,u_bracket,3320,0,0.0,,,1,5,0,6640,4,656,0,0,2,0,2,0,0,0,5,3298,24330,0,0,0,1,42020,0,0,24659,8932,done,0.0,4.0,3.284
1.04,1.04,u_bracket,1617,0,0.014,,,1,5,0,3234,4,330,0,0,2,0,2,0,0,0,5,832,6157,0,0,0,1,9080,0,0,6323,2330,done,0.0,8.0,0.807
1.0,1.0,u_shape,3320,0,0.0,,,1,2,0,6640,2,692,3016,0,1,0,0,0,0,0,3,5326,29880,0,0,0,0,53120,0,0,30227,2206,done,0.0,2.0,3.465
1.0,1.0,u_shape,1660,0,0.0,,,1,2,0,3320,2,346,636,0,1,0,0,0,0,0,3,1334,7470,0,0,0,0,11620,0,0,7644,582,done,0.0,4.0,0.66
1.035,1.035,u_shape,840,0,0.018,,,1,2,0,1680,2,174,168,0,1,0,0,0,0,0,3,326,1890,0,0,0,0,2100,0,0,1978,128,done,0.0,8.0,0.181
1.0,1.0,zigzag_4,2000,0,0.0,,,1,4,0,4000,3,400,1630,0,2,0,2,0,0,0,4,1100,10000,0,0,0,0,16000,0,0,10200,2048,done,0.0,2.0,1.051
1.0,1.0,zigzag_4,1000,0,0.0,,,1,4,0,2000,3,200,406,0,2,0,2,0,0,0,4,280,2500,0,0,0,0,3000,0,0,2600,570,done,0.0,4.0,0.295
1.083,1.083,zigzag_4,520,0,0.04,,,1,4,0,1040,3,96,104,0,2,0,2,0,0,0,4,54,624,0,0,0,0,208,0,0,672,144,done,0.0,8.0,0.113
1.0,1.0,zigzag_6,1800,0,0.0,,,1,5,0,3600,5,504,914,0,1,0,0,0,0,0,6,1152,7776,0,0,0,0,11952,0,0,8029,914,done,0.0,2.0,0.68
1.0,1.0,zigzag_6,900,0,0.0,,,1,5,0,1800,5,252,232,0,1,0,0,0,0,0,6,288,1944,0,0,0,0,2088,0,0,2071,232,done,0.0,4.0,0.182
1.0,1.0,zigzag_6,414,0,0.0,,,1,5,0,828,5,126,54,0,1,0,0,0,0,0,6,90,486,0,0,0,0,144,0,0,550,54,done,0.0,8.0,0.101
